destination,current_price,duration_minutes,stops_count,travel_class,offer_type,airline,departure_hour,profile,recommendation_score
Madrid,295.11,121,0,economy,standard,Emirates,8,budget,39
Madrid,217.95,163,0,economy,standard,Air France,6,budget,70
Madrid,202.84,129,0,standard,standard,Tunisair,12,budget,99
Madrid,281.79,143,0,economy,standard,Air France,19,budget,37
Madrid,227.47,320,2,economy,standard,Transavia,8,budget,41
Madrid,295.11,121,0,economy,standard,Emirates,8,comfort,71
Madrid,217.95,163,0,economy,standard,Air France,6,comfort,61
Madrid,202.84,129,0,standard,standard,Tunisair,12,comfort,88
Madrid,281.79,143,0,economy,standard,Air France,19,comfort,83
Madrid,227.47,320,2,economy,standard,Transavia,8,comfort,23
Madrid,295.11,121,0,economy,standard,Emirates,8,balanced,54
Madrid,217.95,163,0,economy,standard,Air France,6,balanced,57
Madrid,202.84,129,0,standard,standard,Tunisair,12,balanced,98
Madrid,281.79,143,0,economy,standard,Air France,19,balanced,46
Madrid,227.47,320,2,economy,standard,Transavia,8,balanced,22
Cairo,493.45,274,1,flex,flex,Qatar Airways,10,budget,21
Cairo,385.4,203,0,economy,standard,Qatar Airways,20,budget,45
Cairo,268.27,355,1,eco,eco,Transavia,12,budget,38
Cairo,370.24,204,0,eco,eco,Lufthansa,7,budget,59
Cairo,375.21,217,0,eco,eco,ITA Airways,16,budget,55
Cairo,300.47,228,0,standard,standard,Tunisair,20,budget,100
Cairo,493.45,274,1,flex,flex,Qatar Airways,10,comfort,32
Cairo,385.4,203,0,economy,standard,Qatar Airways,20,comfort,76
Cairo,268.27,355,1,eco,eco,Transavia,12,comfort,24
Cairo,370.24,204,0,eco,eco,Lufthansa,7,comfort,59
Cairo,375.21,217,0,eco,eco,ITA Airways,16,comfort,55
Cairo,300.47,228,0,standard,standard,Tunisair,20,comfort,97
Cairo,493.45,274,1,flex,flex,Qatar Airways,10,balanced,30
Cairo,385.4,203,0,economy,standard,Qatar Airways,20,balanced,67
Cairo,268.27,355,1,eco,eco,Transavia,12,balanced,30
Cairo,370.24,204,0,eco,eco,Lufthansa,7,balanced,87
Cairo,375.21,217,0,eco,eco,ITA Airways,16,balanced,56
Cairo,300.47,228,0,standard,standard,Tunisair,20,balanced,91
Istanbul,381.46,153,0,economy,standard,Tunisair,8,budget,48
Istanbul,459.49,199,0,economy,standard,Lufthansa,15,budget,36
Istanbul,450.61,201,0,standard,standard,Turkish Airlines,17,budget,34
Istanbul,273.35,173,0,economy,standard,Turkish Airlines,16,budget,94
Istanbul,322.86,318,2,economy,standard,Tunisair,20,budget,32
Istanbul,280.34,323,1,eco,eco,Turkish Airlines,20,budget,62
Istanbul,381.46,153,0,economy,standard,Tunisair,8,comfort,65
Istanbul,459.49,199,0,economy,standard,Lufthansa,15,comfort,74
Istanbul,450.61,201,0,standard,standard,Turkish Airlines,17,comfort,94
Istanbul,273.35,173,0,economy,standard,Turkish Airlines,16,comfort,95
Istanbul,322.86,318,2,economy,standard,Tunisair,20,comfort,35
Istanbul,280.34,323,1,eco,eco,Turkish Airlines,20,comfort,39
Istanbul,381.46,153,0,economy,standard,Tunisair,8,balanced,41
Istanbul,459.49,199,0,economy,standard,Lufthansa,15,balanced,27
Istanbul,450.61,201,0,standard,standard,Turkish Airlines,17,balanced,47
Istanbul,273.35,173,0,economy,standard,Turkish Airlines,16,balanced,100
Istanbul,322.86,318,2,economy,standard,Tunisair,20,balanced,28
Istanbul,280.34,323,1,eco,eco,Turkish Airlines,20,balanced,34
Cairo,309.16,215,0,standard,standard,Tunisair,5,budget,82
Cairo,467.77,324,2,flex,flex,Turkish Airlines,9,budget,30
Cairo,236.93,363,1,economy,standard,Vueling,18,budget,100
Cairo,300.36,191,0,eco,eco,Tunisair,18,budget,76
Cairo,326.05,329,2,economy,standard,Transavia,8,budget,44
Cairo,309.16,215,0,standard,standard,Tunisair,5,comfort,96
Cairo,467.77,324,2,flex,flex,Turkish Airlines,9,comfort,37
Cairo,236.93,363,1,economy,standard,Vueling,18,comfort,42
Cairo,300.36,191,0,eco,eco,Tunisair,18,comfort,90
Cairo,326.05,329,2,economy,standard,Transavia,8,comfort,26
Cairo,309.16,215,0,standard,standard,Tunisair,5,balanced,87
Cairo,467.77,324,2,flex,flex,Turkish Airlines,9,balanced,22
Cairo,236.93,363,1,economy,standard,Vueling,18,balanced,68
Cairo,300.36,191,0,eco,eco,Tunisair,18,balanced,90
Cairo,326.05,329,2,economy,standard,Transavia,8,balanced,36
Madrid,163.09,141,0,economy,standard,Transavia,21,budget,100
Madrid,218.08,223,1,standard,standard,Transavia,23,budget,38
Madrid,279.5,129,0,flex,flex,Air France,8,budget,45
Madrid,358.04,249,1,economy,standard,Qatar Airways,10,budget,13
Madrid,225.03,213,1,eco,eco,Air France,7,budget,48
Madrid,163.09,141,0,economy,standard,Transavia,21,comfort,80
Madrid,218.08,223,1,standard,standard,Transavia,23,comfort,23
Madrid,279.5,129,0,flex,flex,Air France,8,comfort,91
Madrid,358.04,249,1,economy,standard,Qatar Airways,10,comfort,28
Madrid,225.03,213,1,eco,eco,Air France,7,comfort,25
Madrid,163.09,141,0,economy,standard,Transavia,21,balanced,90
Madrid,218.08,223,1,standard,standard,Transavia,23,balanced,37
Madrid,279.5,129,0,flex,flex,Air France,8,balanced,88
Madrid,358.04,249,1,economy,standard,Qatar Airways,10,balanced,17
Madrid,225.03,213,1,eco,eco,Air France,7,balanced,38
Doha,659.72,337,0,flex,flex,Lufthansa,9,budget,57
Doha,672.54,319,0,standard,standard,Qatar Airways,17,budget,53
Doha,706.6,432,1,flex,flex,ITA Airways,9,budget,46
Doha,727.6,373,1,economy,standard,Turkish Airlines,12,budget,35
Doha,513.33,395,2,economy,standard,Transavia,15,budget,97
Doha,787.21,425,1,economy,standard,Emirates,11,budget,30
Doha,745.44,285,0,flex,flex,ITA Airways,7,budget,74
Doha,652.14,325,0,economy,standard,Turkish Airlines,17,budget,60
Doha,586.27,383,1,eco,eco,Emirates,11,budget,53
Doha,659.72,337,0,flex,flex,Lufthansa,9,comfort,79
Doha,672.54,319,0,standard,standard,Qatar Airways,17,comfort,98
Doha,706.6,432,1,flex,flex,ITA Airways,9,comfort,41
Doha,727.6,373,1,economy,standard,Turkish Airlines,12,comfort,26
Doha,513.33,395,2,economy,standard,Transavia,15,comfort,30
Doha,787.21,425,1,economy,standard,Emirates,11,comfort,33
Doha,745.44,285,0,flex,flex,ITA Airways,7,comfort,90
Doha,652.14,325,0,economy,standard,Turkish Airlines,17,comfort,77
Doha,586.27,383,1,eco,eco,Emirates,11,comfort,37
Doha,659.72,337,0,flex,flex,Lufthansa,9,balanced,94
Doha,672.54,319,0,standard,standard,Qatar Airways,17,balanced,92
Doha,706.6,432,1,flex,flex,ITA Airways,9,balanced,42
Doha,727.6,373,1,economy,standard,Turkish Airlines,12,balanced,43
Doha,513.33,395,2,economy,standard,Transavia,15,balanced,42
Doha,787.21,425,1,economy,standard,Emirates,11,balanced,28
Doha,745.44,285,0,flex,flex,ITA Airways,7,balanced,74
Doha,652.14,325,0,economy,standard,Turkish Airlines,17,balanced,72
Doha,586.27,383,1,eco,eco,Emirates,11,balanced,50
Madrid,297.69,170,0,economy,standard,Emirates,6,budget,58
Madrid,159.18,267,1,economy,standard,Vueling,9,budget,56
Madrid,268.01,237,1,flex,flex,Tunisair,20,budget,39
Madrid,127.77,168,0,eco,eco,Transavia,21,budget,98
Madrid,348.21,275,1,business,standard,Transavia,21,budget,21
Madrid,255.56,219,1,flex,flex,Vueling,13,budget,39
Madrid,297.69,170,0,economy,standard,Emirates,6,comfort,100
Madrid,159.18,267,1,economy,standard,Vueling,9,comfort,29
Madrid,268.01,237,1,flex,flex,Tunisair,20,comfort,51
Madrid,127.77,168,0,eco,eco,Transavia,21,comfort,82
Madrid,348.21,275,1,business,standard,Transavia,21,comfort,25
Madrid,255.56,219,1,flex,flex,Vueling,13,comfort,63
Madrid,297.69,170,0,economy,standard,Emirates,6,balanced,94
Madrid,159.18,267,1,economy,standard,Vueling,9,balanced,52
Madrid,268.01,237,1,flex,flex,Tunisair,20,balanced,31
Madrid,127.77,168,0,eco,eco,Transavia,21,balanced,90
Madrid,348.21,275,1,business,standard,Transavia,21,balanced,22
Madrid,255.56,219,1,flex,flex,Vueling,13,balanced,37
Paris,304.39,366,2,eco,eco,ITA Airways,10,budget,32
Paris,273.52,168,0,eco,eco,Turkish Airlines,13,budget,59
Paris,499.71,354,2,flex,flex,Lufthansa,22,budget,17
Paris,234.33,131,0,economy,standard,Tunisair,20,budget,94
Paris,267.1,255,1,economy,standard,Vueling,11,budget,46
Paris,321.88,236,2,economy,standard,Transavia,9,budget,35
Paris,317.53,244,1,standard,standard,Turkish Airlines,10,budget,45
Paris,467.09,145,0,standard,standard,Emirates,16,budget,40
Paris,390.61,175,0,flex,flex,Tunisair,20,budget,33
Paris,304.39,366,2,eco,eco,ITA Airways,10,comfort,30
Paris,273.52,168,0,eco,eco,Turkish Airlines,13,comfort,69
Paris,499.71,354,2,flex,flex,Lufthansa,22,comfort,35
Paris,234.33,131,0,economy,standard,Tunisair,20,comfort,96
Paris,267.1,255,1,economy,standard,Vueling,11,comfort,43
Paris,321.88,236,2,economy,standard,Transavia,9,comfort,25
Paris,317.53,244,1,standard,standard,Turkish Airlines,10,comfort,59
Paris,467.09,145,0,standard,standard,Emirates,16,comfort,84
Paris,390.61,175,0,flex,flex,Tunisair,20,comfort,84
Paris,304.39,366,2,eco,eco,ITA Airways,10,balanced,29
Paris,273.52,168,0,eco,eco,Turkish Airlines,13,balanced,61
Paris,499.71,354,2,flex,flex,Lufthansa,22,balanced,24
Paris,234.33,131,0,economy,standard,Tunisair,20,balanced,95
Paris,267.1,255,1,economy,standard,Vueling,11,balanced,56
Paris,321.88,236,2,economy,standard,Transavia,9,balanced,36
Paris,317.53,244,1,standard,standard,Turkish Airlines,10,balanced,53
Paris,467.09,145,0,standard,standard,Emirates,16,balanced,66
Paris,390.61,175,0,flex,flex,Tunisair,20,balanced,77
London,490.38,442,2,standard,standard,Lufthansa,10,budget,14
London,387.55,212,0,economy,standard,Emirates,21,budget,67
London,325.74,182,0,economy,standard,ITA Airways,11,budget,79
London,472.01,225,1,flex,flex,Emirates,10,budget,47
London,277.68,212,0,eco,eco,Vueling,13,budget,86
London,366.48,215,0,economy,standard,Turkish Airlines,17,budget,68
London,210.28,261,1,economy,standard,Transavia,10,budget,92
London,452.79,320,2,standard,standard,Air France,17,budget,31
London,490.38,442,2,standard,standard,Lufthansa,10,comfort,22
London,387.55,212,0,economy,standard,Emirates,21,comfort,71
London,325.74,182,0,economy,standard,ITA Airways,11,comfort,94
London,472.01,225,1,flex,flex,Emirates,10,comfort,60
London,277.68,212,0,eco,eco,Vueling,13,comfort,58
London,366.48,215,0,economy,standard,Turkish Airlines,17,comfort,79
London,210.28,261,1,economy,standard,Transavia,10,comfort,49
London,452.79,320,2,standard,standard,Air France,17,comfort,44
London,490.38,442,2,standard,standard,Lufthansa,10,balanced,37
London,387.55,212,0,economy,standard,Emirates,21,balanced,74
London,325.74,182,0,economy,standard,ITA Airways,11,balanced,92
London,472.01,225,1,flex,flex,Emirates,10,balanced,60
London,277.68,212,0,eco,eco,Vueling,13,balanced,92
London,366.48,215,0,economy,standard,Turkish Airlines,17,balanced,82
London,210.28,261,1,economy,standard,Transavia,10,balanced,84
London,452.79,320,2,standard,standard,Air France,17,balanced,50
Paris,191.53,131,0,economy,standard,Vueling,14,budget,96
Paris,395.41,153,0,economy,standard,Emirates,15,budget,33
Paris,263.67,249,1,economy,standard,Vueling,12,budget,47
Paris,260.48,147,0,eco,eco,Turkish Airlines,8,budget,56
Paris,294.04,235,1,eco,eco,ITA Airways,10,budget,53
Paris,218.6,150,0,economy,standard,Vueling,10,budget,88
Paris,445.41,230,1,flex,flex,Lufthansa,7,budget,18
Paris,191.53,131,0,economy,standard,Vueling,14,comfort,76
Paris,395.41,153,0,economy,standard,Emirates,15,comfort,91
Paris,263.67,249,1,economy,standard,Vueling,12,comfort,18
Paris,260.48,147,0,eco,eco,Turkish Airlines,8,comfort,88
Paris,294.04,235,1,eco,eco,ITA Airways,10,comfort,26
Paris,218.6,150,0,economy,standard,Vueling,10,comfort,90
Paris,445.41,230,1,flex,flex,Lufthansa,7,comfort,48
Paris,191.53,131,0,economy,standard,Vueling,14,balanced,82
Paris,395.41,153,0,economy,standard,Emirates,15,balanced,45
Paris,263.67,249,1,economy,standard,Vueling,12,balanced,31
Paris,260.48,147,0,eco,eco,Turkish Airlines,8,balanced,100
Paris,294.04,235,1,eco,eco,ITA Airways,10,balanced,35
Paris,218.6,150,0,economy,standard,Vueling,10,balanced,84
Paris,445.41,230,1,flex,flex,Lufthansa,7,balanced,25
London,328.73,448,2,standard,standard,Transavia,9,budget,69
London,311.07,175,0,eco,eco,Air France,11,budget,85
London,393.53,213,0,standard,standard,Emirates,18,budget,79
London,679.78,214,0,business,standard,Air France,14,budget,27
London,334.17,181,0,eco,eco,Qatar Airways,12,budget,89
London,416.2,310,1,eco,eco,Emirates,8,budget,50
London,340.95,214,0,eco,eco,Tunisair,23,budget,94
London,439.36,287,1,eco,eco,Lufthansa,14,budget,49
London,328.73,448,2,standard,standard,Transavia,9,comfort,21
London,311.07,175,0,eco,eco,Air France,11,comfort,65
London,393.53,213,0,standard,standard,Emirates,18,comfort,81
London,679.78,214,0,business,standard,Air France,14,comfort,100
London,334.17,181,0,eco,eco,Qatar Airways,12,comfort,62
London,416.2,310,1,eco,eco,Emirates,8,comfort,36
London,340.95,214,0,eco,eco,Tunisair,23,comfort,53
London,439.36,287,1,eco,eco,Lufthansa,14,comfort,31
London,328.73,448,2,standard,standard,Transavia,9,balanced,32
London,311.07,175,0,eco,eco,Air France,11,balanced,98
London,393.53,213,0,standard,standard,Emirates,18,balanced,88
London,679.78,214,0,business,standard,Air France,14,balanced,54
London,334.17,181,0,eco,eco,Qatar Airways,12,balanced,82
London,416.2,310,1,eco,eco,Emirates,8,balanced,31
London,340.95,214,0,eco,eco,Tunisair,23,balanced,80
London,439.36,287,1,eco,eco,Lufthansa,14,balanced,39
Cairo,274.71,234,0,eco,eco,ITA Airways,9,budget,94
Cairo,399.61,234,0,economy,standard,Tunisair,20,budget,85
Cairo,407.45,227,0,eco,eco,Lufthansa,14,budget,61
Cairo,416.1,363,2,economy,standard,Vueling,5,budget,50
Cairo,463.47,385,2,eco,eco,Air France,11,budget,53
Cairo,284.18,189,0,economy,standard,Transavia,18,budget,72
Cairo,823.85,254,1,business,standard,Emirates,12,budget,35
Cairo,290.24,332,1,economy,standard,Tunisair,10,budget,63
Cairo,398.07,215,0,economy,standard,Lufthansa,20,budget,73
Cairo,274.71,234,0,eco,eco,ITA Airways,9,comfort,100
Cairo,399.61,234,0,economy,standard,Tunisair,20,comfort,78
Cairo,407.45,227,0,eco,eco,Lufthansa,14,comfort,60
Cairo,416.1,363,2,economy,standard,Vueling,5,comfort,20
Cairo,463.47,385,2,eco,eco,Air France,11,comfort,21
Cairo,284.18,189,0,economy,standard,Transavia,18,comfort,70
Cairo,823.85,254,1,business,standard,Emirates,12,comfort,80
Cairo,290.24,332,1,economy,standard,Tunisair,10,comfort,39
Cairo,398.07,215,0,economy,standard,Lufthansa,20,comfort,77
Cairo,274.71,234,0,eco,eco,ITA Airways,9,balanced,90
Cairo,399.61,234,0,economy,standard,Tunisair,20,balanced,76
Cairo,407.45,227,0,eco,eco,Lufthansa,14,balanced,71
Cairo,416.1,363,2,economy,standard,Vueling,5,balanced,26
Cairo,463.47,385,2,eco,eco,Air France,11,balanced,18
Cairo,284.18,189,0,economy,standard,Transavia,18,balanced,75
Cairo,823.85,254,1,business,standard,Emirates,12,balanced,44
Cairo,290.24,332,1,economy,standard,Tunisair,10,balanced,52
Cairo,398.07,215,0,economy,standard,Lufthansa,20,balanced,90
Istanbul,528.58,197,1,economy,standard,Emirates,12,budget,39
Istanbul,492.23,169,0,standard,standard,Emirates,19,budget,46
Istanbul,268.39,369,2,eco,eco,Lufthansa,17,budget,60
Istanbul,320.28,170,0,economy,standard,Lufthansa,18,budget,100
Istanbul,427.79,360,2,eco,eco,Qatar Airways,19,budget,23
Istanbul,545.57,195,0,standard,standard,Qatar Airways,7,budget,32
Istanbul,387.99,203,0,economy,standard,Qatar Airways,10,budget,62
Istanbul,387.67,232,1,eco,eco,Emirates,21,budget,52
Istanbul,259.07,287,1,economy,standard,Transavia,17,budget,96
Istanbul,461.15,175,0,flex,flex,Tunisair,14,budget,61
Istanbul,528.58,197,1,economy,standard,Emirates,12,comfort,55
Istanbul,492.23,169,0,standard,standard,Emirates,19,comfort,92
Istanbul,268.39,369,2,eco,eco,Lufthansa,17,comfort,17
Istanbul,320.28,170,0,economy,standard,Lufthansa,18,comfort,83
Istanbul,427.79,360,2,eco,eco,Qatar Airways,19,comfort,17
Istanbul,545.57,195,0,standard,standard,Qatar Airways,7,comfort,75
Istanbul,387.99,203,0,economy,standard,Qatar Airways,10,comfort,79
Istanbul,387.67,232,1,eco,eco,Emirates,21,comfort,61
Istanbul,259.07,287,1,economy,standard,Transavia,17,comfort,32
Istanbul,461.15,175,0,flex,flex,Tunisair,14,comfort,100
Istanbul,528.58,197,1,economy,standard,Emirates,12,balanced,34
Istanbul,492.23,169,0,standard,standard,Emirates,19,balanced,46
Istanbul,268.39,369,2,eco,eco,Lufthansa,17,balanced,24
Istanbul,320.28,170,0,economy,standard,Lufthansa,18,balanced,90
Istanbul,427.79,360,2,eco,eco,Qatar Airways,19,balanced,27
Istanbul,545.57,195,0,standard,standard,Qatar Airways,7,balanced,51
Istanbul,387.99,203,0,economy,standard,Qatar Airways,10,balanced,62
Istanbul,387.67,232,1,eco,eco,Emirates,21,balanced,42
Istanbul,259.07,287,1,economy,standard,Transavia,17,balanced,49
Istanbul,461.15,175,0,flex,flex,Tunisair,14,balanced,79
Dubai,755.8,522,2,economy,standard,ITA Airways,21,budget,30
Dubai,504.81,331,0,economy,standard,Tunisair,23,budget,91
Dubai,590.21,368,1,eco,eco,Turkish Airlines,10,budget,66
Dubai,552.44,369,1,eco,eco,Lufthansa,8,budget,87
Dubai,612.32,358,0,eco,eco,Turkish Airlines,10,budget,82
Dubai,755.8,522,2,economy,standard,ITA Airways,21,comfort,33
Dubai,504.81,331,0,economy,standard,Tunisair,23,comfort,100
Dubai,590.21,368,1,eco,eco,Turkish Airlines,10,comfort,48
Dubai,552.44,369,1,eco,eco,Lufthansa,8,comfort,45
Dubai,612.32,358,0,eco,eco,Turkish Airlines,10,comfort,79
Dubai,755.8,522,2,economy,standard,ITA Airways,21,balanced,23
Dubai,504.81,331,0,economy,standard,Tunisair,23,balanced,90
Dubai,590.21,368,1,eco,eco,Turkish Airlines,10,balanced,38
Dubai,552.44,369,1,eco,eco,Lufthansa,8,balanced,61
Dubai,612.32,358,0,eco,eco,Turkish Airlines,10,balanced,68
Madrid,262.11,240,1,eco,eco,Emirates,18,budget,34
Madrid,264.84,137,0,standard,standard,Air France,17,budget,75
Madrid,218.94,150,0,economy,standard,ITA Airways,12,budget,100
Madrid,264.23,176,1,flex,flex,Qatar Airways,13,budget,43
Madrid,325.01,152,0,standard,standard,Qatar Airways,16,budget,19
Madrid,279.82,270,1,flex,flex,ITA Airways,22,budget,22
Madrid,262.11,240,1,eco,eco,Emirates,18,comfort,29
Madrid,264.84,137,0,standard,standard,Air France,17,comfort,100
Madrid,218.94,150,0,economy,standard,ITA Airways,12,comfort,57
Madrid,264.23,176,1,flex,flex,Qatar Airways,13,comfort,39
Madrid,325.01,152,0,standard,standard,Qatar Airways,16,comfort,96
Madrid,279.82,270,1,flex,flex,ITA Airways,22,comfort,24
Madrid,262.11,240,1,eco,eco,Emirates,18,balanced,55
Madrid,264.84,137,0,standard,standard,Air France,17,balanced,88
Madrid,218.94,150,0,economy,standard,ITA Airways,12,balanced,100
Madrid,264.23,176,1,flex,flex,Qatar Airways,13,balanced,38
Madrid,325.01,152,0,standard,standard,Qatar Airways,16,balanced,51
Madrid,279.82,270,1,flex,flex,ITA Airways,22,balanced,22
Dubai,688.15,323,0,economy,standard,Tunisair,17,budget,25
Dubai,761.25,325,0,standard,standard,Air France,12,budget,35
Dubai,825.7,315,0,flex,flex,Air France,18,budget,33
Dubai,440.72,319,0,eco,eco,Vueling,9,budget,84
Dubai,370.82,312,0,eco,eco,Vueling,9,budget,89
Dubai,761.04,365,1,standard,standard,Turkish Airlines,10,budget,24
Dubai,746.45,404,1,economy,standard,Lufthansa,14,budget,26
Dubai,688.15,323,0,economy,standard,Tunisair,17,comfort,54
Dubai,761.25,325,0,standard,standard,Air France,12,comfort,77
Dubai,825.7,315,0,flex,flex,Air France,18,comfort,90
Dubai,440.72,319,0,eco,eco,Vueling,9,comfort,55
Dubai,370.82,312,0,eco,eco,Vueling,9,comfort,73
Dubai,761.04,365,1,standard,standard,Turkish Airlines,10,comfort,25
Dubai,746.45,404,1,economy,standard,Lufthansa,14,comfort,17
Dubai,688.15,323,0,economy,standard,Tunisair,17,balanced,52
Dubai,761.25,325,0,standard,standard,Air France,12,balanced,38
Dubai,825.7,315,0,flex,flex,Air France,18,balanced,60
Dubai,440.72,319,0,eco,eco,Vueling,9,balanced,55
Dubai,370.82,312,0,eco,eco,Vueling,9,balanced,99
Dubai,761.04,365,1,standard,standard,Turkish Airlines,10,balanced,36
Dubai,746.45,404,1,economy,standard,Lufthansa,14,balanced,22
Dubai,773.85,370,0,standard,standard,Qatar Airways,17,budget,29
Dubai,744.08,393,1,standard,standard,Qatar Airways,19,budget,40
Dubai,830.2,493,1,standard,standard,Lufthansa,9,budget,14
